 Rank , Player Name ,Position ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
1,Antonio Brown,WR1,PIT,8,1,4,1.235294118,0.621138591,1
2,Odell Beckham Jr.,WR2,NYG,8,2,12,3.308823529,1.841174121,2
3,Julio Jones,WR3,ATL,11,1,9,3.558823529,1.459072559,5
4,Todd Gurley,RB1,LA,8,1,11,4.176470588,2.268331704,3
5,David Johnson,RB2,ARI,9,1,19,6.75,4.052504672,7
6,Adrian Peterson,RB3,MIN,6,2,16,7.602941176,3.236463692,6
7,DeAndre Hopkins,WR4,HOU,9,2,21,8.676470588,3.22873667,10
8,A.J. Green,WR5,CIN,9,4,18,9.661764706,2.836787195,12
9,Rob Gronkowski,TE1,NE,9,4,27,10.08823529,4.185884172,9
10,Dez Bryant,WR6,DAL,7,5,19,10.35294118,2.699480919,11
11,Lamar Miller,RB4,HOU,9,3,29,11.48529412,5.174861882,13
12,Ezekiel Elliott,RB5,DAL,7,2,28,8.970149254,4.455317632,8
13,Allen Robinson,WR7,JAC,5,8,24,14.64705882,3.833922526,17
14,Jamaal Charles,RB6,KC,5,5,36,16.54411765,6.802754251,14
15,Jordy Nelson,WR8,GB,4,7,40,17.85294118,5.388617377,16
16,Alshon Jeffery,WR9,CHI,9,11,37,19.17647059,4.949572698,19
17,Le'Veon Bell,RB7,PIT,8,2,44,19.27941176,8.739439995,4
18,Mike Evans,WR10,TB,6,9,34,19.66176471,5.095009941,25
19,Devonta Freeman,RB8,ATL,11,6,108,20.73529412,15.08175529,15
20,Doug Martin,RB9,TB,6,6,42,21.25,5.996015834,18
21,Mark Ingram,RB10,NO,5,10,54,21.32352941,7.744905681,22
22,Brandon Marshall,WR11,NYJ,11,13,40,23.33823529,5.799620409,21
23,Keenan Allen,WR12,SD,11,13,46,24.64705882,6.701107691,30
24,LeSean McCoy,RB11,BUF,10,14,41,24.69117647,6.015317098,26
25,Eddie Lacy,RB12,GB,4,11,58,25.05882353,8.53519074,20
26,Brandin Cooks,WR13,NO,5,12,50,25.88235294,6.551895576,27
27,Amari Cooper,WR14,OAK,10,10,46,26.52941176,6.704850282,24
28,Demaryius Thomas,WR15,DEN,11,17,55,29.82352941,6.99987642,32
29,T.Y. Hilton,WR16,IND,10,17,61,29.94117647,8.308185816,33
30,C.J. Anderson,RB13,DEN,11,15,82,30.89705882,9.542690005,37
31,Sammy Watkins,WR17,BUF,10,20,52,32.5,7.413223479,28
32,Cam Newton,QB1,CAR,7,20,72,33.16176471,9.800375584,23
33,Carlos Hyde,RB14,SF,8,17,73,35.29411765,8.72295623,35
34,Aaron Rodgers,QB2,GB,4,11,74,33.52238806,10.49571086,29
35,Randall Cobb,WR18,GB,4,24,66,38.22058824,8.06197609,42
36,Matt Forte,RB15,NYJ,11,20,59,38.69117647,8.207344904,34
37,Thomas Rawls,RB16,SEA,5,16,125,40.61764706,16.00002703,31
38,Jordan Reed,TE2,WAS,9,28,77,42.88235294,7.56448632,38
39,Jeremy Maclin,WR19,KC,5,30,67,43.07352941,8.090146833,51
40,Greg Olsen,TE3,CAR,7,31,82,45.61764706,8.187202014,44
41,Kelvin Benjamin,WR20,CAR,7,21,82,46.25,12.12481049,36
42,Latavius Murray,RB17,OAK,10,18,90,46.27941176,13.20967291,41
43,Andrew Luck,QB3,IND,10,12,75,44,11.96637079,43
44,Russell Wilson,QB4,SEA,5,22,73,44.04477612,9.875996584,40
45,Julian Edelman,WR21,NE,9,25,79,47.29411765,11.45844002,39
46,Golden Tate,WR22,DET,10,27,108,47.72058824,11.88652919,50
47,Jarvis Landry,WR23,MIA,8,21,79,50.64705882,11.24037458,47
48,Eric Decker,WR24,NYJ,11,25,79,50.64705882,10.4779386,58
49,Jeremy Hill,RB18,CIN,9,29,88,50.66176471,12.33194118,49
50,DeMarco Murray,RB19,TEN,13,5,101,51.19117647,15.24144635,46
51,Jonathan Stewart,RB20,CAR,7,18,91,51.44117647,13.66014206,48
52,Doug Baldwin,WR25,SEA,5,29,79,51.92647059,10.72286751,45
53,Drew Brees,QB5,NO,5,27,79,53.34328358,10.20762407,54
54,Dion Lewis,RB21,NE,9,24,84,55.57352941,13.38383153,55
55,Michael Floyd,WR26,ARI,9,29,95,56.48529412,13.40598269,57
56,Ryan Mathews,RB22,PHI,4,35,145,56.79411765,19.10001449,53
57,Matt Jones,RB23,WAS,9,25,101,58.13235294,15.12293196,59
58,Donte Moncrief,WR27,IND,10,30,110,59.39705882,16.13649472,78
59,Ben Roethlisberger,QB6,PIT,8,31,95,61.19402985,14.10540153,52
60,Jordan Matthews,WR28,PHI,4,32,105,63.47058824,11.92065754,67
61,John Brown,WR29,ARI,9,25,96,64.22058824,13.24191828,71
62,Larry Fitzgerald,WR30,ARI,9,36,98,64.91176471,11.7607714,60
63,Frank Gore,RB24,IND,10,34,101,65.32352941,14.49385385,74
64,Emmanuel Sanders,WR31,DEN,11,45,93,65.58823529,9.596622099,63
65,Travis Kelce,TE4,KC,5,35,94,66.30882353,14.04117616,64
66,Devante Parker,WR32,MIA,8,33,130,67.16176471,14.31228421,69
67,Giovani Bernard,RB25,CIN,9,34,123,70.64705882,16.76372546,80
68,Jeremy Langford,RB26,CHI,9,15,171,70.70588235,22.13465397,56
69,Delanie Walker,TE5,TEN,13,50,111,71.14705882,12.44666824,66
70,Carson Palmer,QB7,ARI,9,40,104,69.41791045,11.86006626,68
71,Allen Hurns,WR33,JAC,5,46,105,71.54411765,12.0969537,65
72,Melvin Gordon,RB27,SD,11,27,105,71.72058824,14.03131538,72
73,Duke Johnson,RB28,CLE,13,41,111,74.44117647,15.83962116,79
74,DeSean Jackson,WR34,WAS,9,45,103,76.77941176,10.23811447,81
75,Ameer Abdullah,RB29,DET,10,43,142,77.79411765,15.96278652,75
76,Tyler Lockett,WR35,SEA,5,25,126,79.55882353,15.96170265,84
77,Coby Fleener,TE6,NO,5,50,196,83.39705882,24.79097304,76
78,Michael Crabtree,WR36,OAK,10,56,114,83.41176471,11.10542434,88
79,Jay Ajayi,RB30,MIA,8,43,130,82.01492537,19.81292548,61
80,Danny Woodhead,RB31,SD,11,56,140,83.92647059,15.56231891,87
81,Eli Manning,QB8,NYG,8,56,140,83.35820896,16.70883357,91
82,Chris Ivory,RB32,JAC,5,39,141,83.49253731,14.83478479,77
83,Tyler Eifert,TE7,CIN,9,46,126,85.26470588,16.627951,62
84,Blake Bortles,QB9,JAC,5,13,158,83.79104478,22.39638651,70
85,Marvin Jones,WR37,DET,10,50,122,87.55223881,16.31799993,92
86,Tom Brady,QB10,NE,9,36,179,87.56716418,28.10546443,73
87,Kevin White,WR38,CHI,9,57,147,87.56716418,16.90555316,82
88,T.J. Yeldon,RB33,JAC,5,35,128,88.89552239,18.51029107,83
89,Gary Barnidge,TE8,CLE,13,40,139,92.22058824,17.63172741,86
90,Philip Rivers,QB11,SD,11,56,129,91.88059701,16.27242186,101
91,Rashad Jennings,RB34,NYG,8,58,175,92.98507463,18.73339467,96
92,Ladarius Green,TE9,PIT,8,60,169,96.76470588,20.18452935,93
