 Rank , Player Name ,Position ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
1,Antonio Brown,WR1,PIT,8,1,5,1.2875,0.727903668,1
2,Odell Beckham Jr.,WR2,NYG,8,1,9,3.125,1.5114149,2
3,Julio Jones,WR3,ATL,11,1,6,3.3625,1.153730363,4
4,Todd Gurley,RB1,LA,8,1,11,4.45,2.252221126,3
5,David Johnson,RB2,ARI,9,1,19,6.5625,3.859545796,6
6,Adrian Peterson,RB3,MIN,6,1,22,7.6875,3.783496234,5
7,A.J. Green,WR4,CIN,9,2,15,9.025,2.640904201,12
8,DeAndre Hopkins,WR5,HOU,9,3,20,9.2125,3.117265428,8
9,Rob Gronkowski,TE1,NE,9,5,26,10.05,4.188973621,9
10,Ezekiel Elliott,RB4,DAL,7,3,28,10.2125,5.607347301,7
11,Dez Bryant,WR6,DAL,7,4,26,10.5625,3.901422016,11
12,Lamar Miller,RB5,HOU,9,1,28,10.8625,4.443376391,13
13,Allen Robinson,WR7,JAC,5,4,21,13.725,3.65709926,15
14,Jamaal Charles,RB6,KC,5,6,38,16.525,6.599195027,16
15,Le'Veon Bell,RB7,PIT,8,2,44,18.7,8.477027781,10
16,Mike Evans,WR8,TB,6,9,33,18.9375,4.659248196,24
17,Jordy Nelson,WR9,GB,4,7,34,19.6125,5.633590662,17
18,Mark Ingram,RB8,NO,5,10,54,20.0625,6.352841392,23
19,Brandon Marshall,WR10,NYJ,11,6,39,20.525,5.661216742,18
20,Alshon Jeffery,WR11,CHI,9,11,44,20.7125,5.850627637,21
21,Devonta Freeman,RB9,ATL,11,7,108,21.35,14.16430372,14
22,Doug Martin,RB10,TB,6,8,42,21.8875,7.141417489,19
23,LeSean McCoy,RB11,BUF,10,11,38,23.9375,5.390602355,26
24,Keenan Allen,WR12,SD,11,11,44,24.2,6.18950725,28
25,Eddie Lacy,RB12,GB,4,11,58,24.9375,8.491677911,20
26,Brandin Cooks,WR13,NO,5,12,50,26.275,6.747175335,27
27,Amari Cooper,WR14,OAK,10,10,52,26.8,6.301587102,25
28,T.Y. Hilton,WR15,IND,10,17,61,29.2125,7.220965569,33
29,C.J. Anderson,RB13,DEN,11,13,82,29.575,8.927170604,34
30,Demaryius Thomas,WR16,DEN,11,17,48,30.175,6.493795115,32
31,Sammy Watkins,WR17,BUF,10,11,53,30.5375,7.113268851,30
32,Cam Newton,QB1,CAR,7,18,73,33.2625,9.609557417,22
33,Aaron Rodgers,QB2,GB,4,21,75,35.65,10.88932964,29
34,Carlos Hyde,RB14,SF,8,17,72,35.775,9.874177181,36
35,Randall Cobb,WR18,GB,4,24,57,38.0625,6.692054524,43
36,Thomas Rawls,RB15,SEA,5,15,131,38.2625,14.64474628,31
37,Latavius Murray,RB16,OAK,10,15,92,41,11.69187752,39
38,Jeremy Maclin,WR19,KC,5,28,61,41.55,7.242064623,50
39,Jordan Reed,TE2,WAS,9,28,77,42.0375,7.332195698,38
40,Russell Wilson,QB3,SEA,5,21,74,44.175,9.704090632,42
41,Matt Forte,RB17,NYJ,11,22,79,44.3625,11.01163447,37
42,Greg Olsen,TE3,CAR,7,32,85,46.4875,8.162404287,44
43,Eric Decker,WR20,NYJ,11,26,68,46.55,9.428547078,53
44,Andrew Luck,QB4,IND,10,19,76,46.6625,11.42140945,41
45,Kelvin Benjamin,WR21,CAR,7,21,96,47.8125,13.04903612,35
46,Julian Edelman,WR22,NE,9,25,82,48.3125,10.56005889,40
47,Golden Tate,WR23,DET,10,23,110,49.1625,10.77084462,51
48,Jeremy Hill,RB18,CIN,9,27,82,49.95,11.46723594,48
49,Jarvis Landry,WR24,MIA,8,24,76,50.2875,10.11334978,46
50,Jonathan Stewart,RB19,CAR,7,18,90,51.1875,13.20141446,49
51,DeMarco Murray,RB20,TEN,13,27,118,51.45,16.51582574,45
52,Doug Baldwin,WR25,SEA,5,31,77,52.3875,9.554441049,47
53,Michael Floyd,WR26,ARI,9,27,105,54.85,13.5435409,56
54,Drew Brees,QB5,NO,5,27,93,54.8625,11.32777974,52
55,Ryan Mathews,RB21,PHI,4,36,123,55.7375,15.34661506,55
56,Donte Moncrief,WR27,IND,10,28,93,56.0125,13.84692543,70
57,Dion Lewis,RB22,NE,9,33,100,57.45,14.31162115,57
58,Matt Jones,RB23,WAS,9,25,93,58.5375,13.27492349,59
59,Jordan Matthews,WR28,PHI,4,29,116,63.075,12.15192886,67
60,John Brown,WR29,ARI,9,25,99,63.325,11.46164801,72
61,Larry Fitzgerald,WR30,ARI,9,37,102,63.5625,13.04879664,58
62,Frank Gore,RB24,IND,10,34,101,63.03797468,14.39799831,75
63,Ben Roethlisberger,QB6,PIT,8,34,110,64.775,16.30565469,54
64,Travis Kelce,TE4,KC,5,35,94,65.0125,13.88028616,61
65,Emmanuel Sanders,WR31,DEN,11,47,102,67.425,11.254749,62
66,Giovani Bernard,RB25,CIN,9,36,122,68.775,15.36796587,78
67,Devante Parker,WR32,MIA,8,39,150,69.3125,16.85570656,74
68,Carson Palmer,QB7,ARI,9,40,109,71.1,13.4448875,64
69,Delanie Walker,TE5,TEN,13,45,118,70.48101266,12.24213595,63
70,Melvin Gordon,RB26,SD,11,25,130,72.9125,17.46939735,69
71,Allen Hurns,WR33,JAC,5,48,128,73.8125,12.16973064,66
72,Jeremy Langford,RB27,CHI,9,34,171,73.30379747,20.09367583,60
73,Duke Johnson,RB28,CLE,13,47,110,74.58227848,14.92734098,76
74,DeSean Jackson,WR34,WAS,9,54,118,77.175,11.86673397,81
75,Tyler Lockett,WR35,SEA,5,25,122,78.4,15.70398039,84
76,Coby Fleener,TE6,NO,5,50,181,77.41772152,19.01472287,68
77,Eli Manning,QB8,NYG,8,42,157,81.875,16.78941259,85
78,Ameer Abdullah,RB29,DET,10,43,142,80.41772152,14.79874062,80
79,Arian Foster,RB30,MIA,8,34,160,78.19736842,26.07076389,79
80,Rashad Jennings,RB31,NYG,8,54,147,83.01265823,16.02173656,89
81,Michael Crabtree,WR36,OAK,10,53,116,83.43037975,13.29288717,90
82,Marvin Jones,WR37,DET,10,53,129,85.175,15.94504233,91
83,Danny Woodhead,RB32,SD,11,56,144,82.96153846,15.07965373,86
84,Chris Ivory,RB33,JAC,5,41,141,85.30379747,15.76677682,77
85,Blake Bortles,QB9,JAC,5,41,169,89.5,22.66715686,71
86,Kevin White,WR38,CHI,9,57,151,90.15,17.77856856,87
87,Philip Rivers,QB10,SD,11,61,126,89.93670886,14.93220271,96
88,Tyler Eifert,TE7,CIN,9,46,130,91.4375,19.89525305,65
89,Tom Brady,QB11,NE,9,42,178,91.81012658,22.96286267,73
90,Gary Barnidge,TE8,CLE,13,73,160,94.9125,15.6853385,88
91,T.J. Yeldon,RB34,JAC,5,34,134,91.13157895,17.33443645,92
92,Zach Ertz,TE9,PHI,4,66,156,97.2375,18.26967689,95
93,DeAngelo Williams,RB35,PIT,8,44,160,94.94871795,22.32159897,82
94,Julius Thomas,TE10,JAC,5,53,148,98.8125,17.45572524,97
95,Jay Ajayi,RB36,MIA,8,47,157,95.03896104,24.45002407,83
96,Josh Gordon,WR39,CLE,13,52,185,93.84210526,23.48182535,102
97,Torrey Smith,WR40,SF,8,51,146,100.95,18.37110503,121
98,Justin Forsett,RB37,BAL,8,49,172,100.8333333,20.81014094,93
99,Antonio Gates,TE11,SD,11,75,161,103.775,16.30872083,111
100,Corey Coleman,WR41,CLE,13,60,183,101.6666667,20.84661115,105
101,Charles Sims,RB38,TB,6,64,182,103.4556962,19.38013956,113
102,Sterling Shepard,WR42,NYG,8,63,195,102.7051282,22.56279498,94
103,Willie Snead,WR43,NO,5,80,144,104.2531646,13.47897411,117
104,Isaiah Crowell,RB39,CLE,13,64,168,104.1688312,19.47586091,120
105,Stefon Diggs,WR44,MIN,6,78,143,108.2375,15.52195522,103
106,Derek Carr,QB12,OAK,10,49,158,109.7848101,20.12912172,107
107,Tony Romo,QB13,DAL,7,64,164,111.0759494,22.05790547,100
108,Tavon Austin,WR45,LA,8,62,172,112.3625,19.65530701,119
109,Tyrod Taylor,QB14,BUF,10,65,186,113.0632911,22.06626486,130
110,Vincent Jackson,WR46,TB,6,81,190,113.721519,16.7596084,131
111,Travis Benjamin,WR47,SD,11,83,191,115.65,18.82823677,127
112,Derrick Henry,RB40,TEN,13,67,177,113.1038961,20.57585549,98
113,Kirk Cousins,QB15,WAS,9,67,189,117.1392405,23.67380338,112
114,Markus Wheaton,WR48,PIT,8,75,178,118.925,19.68932134,115
115,Dwayne Allen,TE12,IND,10,50,188,119.55,22.89481382,174
116,Jameis Winston,QB16,TB,6,58,193,119.0506329,20.66422257,132
117,LeGarrette Blount,RB41,NE,9,83,170,116.0133333,22.21740659,109
118,Tevin Coleman,RB42,ATL,11,39,188,116.9066667,21.61183215,122
119,Andy Dalton,QB17,CIN,9,65,189,122.9493671,22.11986834,123
120,Matthew Stafford,QB18,DET,10,63,179,123.0759494,19.14420437,135
121,Kamar Aiken,WR49,BAL,8,74,196,121.6623377,21.43162513,168
122,Bilal Powell,RB43,NYJ,11,81,195,122.8701299,21.78009973,126
123,Laquon Treadwell,WR50,MIN,6,65,190,123.9210526,23.77789949,124
124,Marcus Mariota,QB19,TEN,13,64,199,128.0512821,23.92879257,147
125,Steve Smith,WR51,BAL,8,60,175,125.0273973,23.41698985,110
126,Matt Ryan,QB20,ATL,11,95,225,131.9367089,20.40869867,154
127,Ladarius Green,TE13,PIT,8,73,199,126.3333333,31.5819041,104
128,Martellus Bennett,TE14,NE,9,82,191,131.3421053,24.23272724,139
129,Devin Funchess,WR52,CAR,7,70,188,134.5641026,22.07016186,161
130,Theo Riddick,RB44,DET,10,96,192,130.3972603,19.73019362,134
131,Jimmy Graham,TE15,SEA,5,76,179,134.1168831,21.80073514,106
132,Dorial Green-Beckham,WR53,TEN,13,64,201,127.8405797,27.1654209,125
133,Phillip Dorsett,WR54,IND,10,88,184,137.3974359,18.79057302,157
134,Michael Thomas,WR55,NO,5,84,306,135.2465753,28.37362311,142
135,Jason Witten,TE16,DAL,7,100,182,139.2692308,18.76417282,151
136,Eric Ebron,TE17,DET,10,90,178,131.5072464,21.34575489,171
137,Sammie Coates,WR56,PIT,8,85,309,136.75,32.70183056,156
138,Ryan Tannehill,QB21,MIA,8,80,197,139.6103896,25.71479732,169
139,Jordan Howard,RB45,CHI,9,84,197,136.2112676,21.94866963,159
140,Mohamed Sanu,WR57,ATL,11,83,190,141.8684211,18.32049622,189
141,Seattle Seahawks,DST1,SEA,5,111,200,139.8611111,15.21996638,101
142,Denver Broncos,DST2,DEN,11,113,198,141.8493151,14.65556254,99
143,Zach Miller,TE18,CHI,9,100,182,143.3513514,17.15701136,195
144,Kenneth Dixon,RB46,BAL,8,85,199,139.1044776,27.5892767,149
145,Ryan Fitzpatrick,QB22,NYJ,11,89,198,141.173913,23.44216226,181
146,C.J. Prosise,RB47,SEA,5,55,232,141.2727273,27.80862383,144
147,Javorius Allen,RB48,BAL,8,92,217,141.1230769,22.55694175,148
148,Jerick McKinnon,RB49,MIN,6,81,217,148.7352941,23.10374151,164
