Rank,Name,Position,Team,Bye
1,David Johnson,RB,ARI,8
2,LeVeon Bell,RB,PIT,9
3,Ezekiel Elliott,RB,DAL,6
4,Antonio Brown,WR,PIT,9
5,Julio Jones,WR,ATL,5
6,Odell Beckham Jr,WR,NYG,8
7,LeSean McCoy,RB,BUF,6
8,Melvin Gordon,RB,LAC,9
9,Mike Evans,WR,TB,11
10,A.J. Green,WR,CIN,6
11,Devonta Freeman,RB,ATL,5
12,DeMarco Murray,RB,TEN,8
13,Jay Ajayi,RB,MIA,11
14,Jordy Nelson,WR,GB,8
15,Jordan Howard,RB,CHI,9
16,Marshawn Lynch,RB,OAK,10
17,Michael Thomas,WR,NO,5
18,T.Y. Hilton,WR,IND,11
19,Leonard Fournette,RB,JAC,8
20,Dez Bryant,WR,DAL,6
21,Todd Gurley,RB,LAR,8
22,Aaron Rodgers,QB,GB,8
23,Rob Gronkowski,TE,NE,9
24,Lamar Miller,RB,HOU,7
25,Amari Cooper,WR,OAK,10
26,Brandin Cooks,WR,NE,9
27,Tom Brady,QB,NE,9
28,DeAndre Hopkins,WR,HOU,7
29,Isaiah Crowell,RB,CLE,9
30,Doug Baldwin,WR,SEA,6
31,Spencer Ware,RB,KC,10
32,Christian McCaffrey,RB,CAR,11
33,Alshon Jeffery,WR,PHI,10
34,Terrelle Pryor,WR,WAS,5
35,Allen Robinson,WR,JAC,8
36,Carlos Hyde,RB,SF,11
37,Davante Adams,WR,GB,8
38,Travis Kelce,TE,KC,10
39,Adrian Peterson,RB,NO,5
40,Joe Mixon,RB,CIN,6
41,Drew Brees,QB,NO,5
42,Demaryius Thomas,WR,DEN,5
43,Sammy Watkins,WR,BUF,6
44,Keenan Allen,WR,LAC,9
45,Tyreek Hill,WR,KC,10
46,Doug Martin,RB,TB,11
47,Eddie Lacy,RB,SEA,6
48,Jordan Reed,TE,WAS,5
49,Jarvis Landry,WR,MIA,11
50,Michael Crabtree,WR,OAK,10
51,Ty Montgomery,RB,GB,8
52,LeGarrette Blount,RB,PHI,10
53,Martavis Bryant,WR,PIT,9
54,Greg Olsen,TE,CAR,11
55,CJ Anderson,RB,DEN,5
56,Andrew Luck,QB,IND,11
57,Brandon Marshall,WR,NYG,8
58,Matt Ryan,QB,ATL,5
59,Ameer Abdullah,RB,DET,7
60,Julian Edelman,WR,NE,9
61,Mike Gillislee,RB,NE,9
62,Derrick Henry,RB,TEN,8
63,Tevin Coleman,RB,ATL,5
64,Kelvin Benjamin,WR,CAR,11
65,Jimmy Graham,TE,SEA,6
66,Donte Moncrief,WR,IND,11
67,Dalvin Cook,RB,MIN,9
68,Larry Fitzgerald,WR,ARI,8
69,Derek Carr,QB,OAK,10
70,Golden Tate,WR,DET,7
71,Mark Ingram,RB,NO,5
72,Tyler Eifert,TE,CIN,6
73,Paul Perkins,RB,NYG,8
74,Bilal Powell,RB,NYJ,11
75,Delanie Walker,TE,TEN,8
76,Cam Newton,QB,CAR,11
77,Willie Snead,WR,NO,5
78,Martellus Bennett,TE,GB,8
79,DeSean Jackson,WR,TB,11
80,Latavius Murray,RB,MIN,9
81,Frank Gore,RB,IND,11
82,Russell Wilson,QB,SEA,6
83,Jamison Crowder,WR,WAS,5
84,Emmanuel Sanders,WR,DEN,5
85,Ben Roethlisberger,QB,PIT,9
86,Rob Kelley,RB,WAS,5
87,Stefon Diggs,WR,MIN,9
88,Kenneth Dixon,RB,BAL,10
89,Hunter Henry,TE,LAC,9
90,Samaje Perine,RB,WAS,5
91,Corey Davis,WR,TEN,8
92,Kirk Cousins,QB,WAS,5
93,Jamaal Charles,RB,DEN,5
94,Randall Cobb,WR,GB,8
95,DeVante Parker,WR,MIA,11
96,Danny Woodhead,RB,BAL,10
97,Jameis Winston,QB,TB,11
98,Pierre Garcon,WR,SF,11
99,Dak Prescott,QB,DAL,6
100,Jonathan Stewart,RB,CAR,11
101,Kyle Rudolph,TE,MIN,9
102,Jeremy Hill,RB,CIN,6
103,Denver Defense,DEF,DEN,5
104,Marcus Mariota,QB,TEN,8
105,Corey Coleman,WR,CLE,9
106,Matt Forte,RB,NYJ,11
107,Kareem Hunt,RB,KC,10
108,Thomas Rawls,RB,SEA,6
109,Kansas City Defense,DEF,KC,10
110,Jeremy Maclin,WR,BAL,10
111,Rishard Matthews,WR,TEN,8
112,John Brown,WR,ARI,8
113,Terrance West,RB,BAL,10
114,Philip Rivers,QB,LAC,9
115,Eric Decker,WR,TEN,8
116,Houston Defense,DEF,HOU,7
117,Cameron Meredith,WR,CHI,9
118,O.J. Howard,TE,TB,11
119,Seattle Defense,DEF,SEA,6
120,Mike Williams,WR,LAC,9
121,Theo Riddick,RB,DET,7
122,Eli Manning,QB,NYG,8
123,New England Defense,DEF,NE,9
124,Matthew Stafford,QB,DET,7
125,CJ Prosise,RB,SEA,6
126,Arizona Defense,DEF,ARI,8
127,Marvin Jones,WR,DET,7
128,Jacquizz Rodgers,RB,TB,11
129,Mike Wallace,WR,BAL,10
130,Jordan Matthews,WR,PHI,10
131,Zach Ertz,TE,PHI,10
132,Minnesota Defense,DEF,MIN,9
133,Andy Dalton,QB,CIN,6
134,Marlon Mack,RB,IND,11
135,Jamaal Williams,RB,GB,8
136,Adam Thielen,WR,MIN,9
137,John Ross,WR,CIN,6
138,Quincy Enunwa,WR,NYJ,11
139,Breshad Perriman,WR,BAL,10
140,NY Giants Defense,DEF,NYG,8
141,Jack Doyle,TE,IND,11
142,Carson Wentz,QB,PHI,10
143,Tyrell Williams,WR,LAC,9
144,James White,RB,NE,9
145,Dion Lewis,RB,NE,9
146,Kevin White,WR,CHI,9
147,Tyrod Taylor,QB,BUF,6
148,Taylor Gabriel,WR,ATL,5
149,Julius Thomas,TE,MIA,11
150,Baltimore Defense,DEF,BAL,10
151,Justin Tucker,PK,BAL,10
152,Stephen Gostkowski,PK,NE,9
153,Joe Williams,RB,SF,11
154,Sterling Shepard,WR,NYG,8
155,Carson Palmer,QB,ARI,8
156,Coby Fleener,TE,NO,5
157,Josh Doctson,WR,WAS,5
158,Carolina Defense,DEF,CAR,11
159,Matt Bryant,PK,ATL,5
160,Eric Ebron,TE,DET,7
161,Cameron Brate,TE,TB,11
162,Ted Ginn Jr,WR,NO,5
163,Blake Bortles,QB,JAC,8
164,Duke Johnson,RB,CLE,9
165,Kenny Britt,WR,LAR,8
166,Evan Engram,TE,NYG,8
167,Ryan Tannehill,QB,MIA,11
168,Dan Bailey,PK,DAL,6
169,Zay Jones,WR,BUF,6
170,DeAngelo Williams,RB,PIT,9
171,Chris Hogan,WR,NE,9
172,David Njoku,TE,CLE,9
173,Tyler Lockett,WR,SEA,6
174,Rex Burkhead,RB,NE,9
175,DeAndre Washington,RB,OAK,10
176,Cole Beasley,WR,DAL,6
177,Donta Foreman,RB,HOU,7
178,Deshaun Watson,QB,HOU,7
179,Austin Hooper,TE,ATL,5
180,Giovani Bernard,RB,CIN,6
181,Philadelphia Defense,DEF,PHI,10
182,Jared Cook,TE,OAK,10
183,Mason Crosby,PK,GB,8
184,Alvin Kamara,RB,NO,5
185,Adam Vinatieri,PK,IND,11
186,Atlanta Defense,DEF,ATL,5
187,Robert Woods,WR,LAR,8
188,Allen Hurns,WR,JAC,8
189,Devontae Booker,RB,DEN,5
190,James Conner,RB,PIT,9
