https://fantasyfootballcalculator.com/adp
Teams:12,Rounds:15,Total drafts:2469
Start date,May 19, 2017
End date,June 2, 2017

ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.02,1.9,David Johnson,RB,ARI,397,8
1.02,2.4,LeVeon Bell,RB,PIT,442,9
1.02,2.5,Ezekiel Elliott,RB,DAL,349,6
1.04,4.2,Antonio Brown,WR,PIT,417,9
1.06,5.6,Julio Jones,WR,ATL,377,5
1.06,5.7,Odell Beckham Jr,WR,NYG,378,8
1.07,7.2,LeSean McCoy,RB,BUF,425,6
1.08,8.4,Melvin Gordon,RB,LAC,462,9
1.09,8.5,Mike Evans,WR,TB,494,11
1.10,10.1,A.J. Green,WR,CIN,434,6
1.12,11.5,Jordan Howard,RB,CHI,375,9
1.12,11.8,Devonta Freeman,RB,ATL,424,5
2.01,13.1,Jordy Nelson,WR,GB,465,8
2.01,13.3,DeMarco Murray,RB,TEN,480,8
2.02,14.2,Jay Ajayi,RB,MIA,534,11
2.04,16.1,Michael Thomas,WR,NO,421,5
2.05,16.8,Todd Gurley,RB,LAR,416,8
2.06,17.8,T.Y. Hilton,WR,IND,475,11
2.06,18.3,Dez Bryant,WR,DAL,425,6
2.07,18.9,Rob Gronkowski,TE,NE,395,9
2.08,20.4,Lamar Miller,RB,HOU,392,7
2.10,21.9,Amari Cooper,WR,OAK,391,10
2.10,22.4,Brandin Cooks,WR,NE,323,9
2.10,22.4,Aaron Rodgers,QB,GB,332,8
3.01,24.5,DeAndre Hopkins,WR,HOU,407,7
3.01,24.6,Leonard Fournette,RB,JAC,776,8
3.02,26.4,Marshawn Lynch,RB,OAK,699,10
3.03,27.0,Doug Baldwin,WR,SEA,355,6
3.05,28.6,Isaiah Crowell,RB,CLE,340,9
3.05,29.4,Tom Brady,QB,NE,334,9
3.06,29.6,Spencer Ware,RB,KC,316,10
3.06,29.9,Alshon Jeffery,WR,PHI,370,10
3.09,32.7,Allen Robinson,WR,JAC,459,8
3.09,32.7,Carlos Hyde,RB,SF,377,11
3.10,34.3,Davante Adams,WR,GB,384,8
4.01,36.6,Sammy Watkins,WR,BUF,322,6
4.01,37.0,Demaryius Thomas,WR,DEN,402,5
4.01,37.3,Terrelle Pryor,WR,WAS,515,5
4.01,37.5,Travis Kelce,TE,KC,283,10
4.02,38.4,Eddie Lacy,RB,SEA,329,6
4.03,39.0,Drew Brees,QB,NO,339,5
4.04,39.7,Keenan Allen,WR,LAC,472,9
4.06,42.0,Tyreek Hill,WR,KC,323,10
4.06,42.1,CJ Anderson,RB,DEN,331,5
4.07,43.1,Adrian Peterson,RB,NO,363,5
4.07,43.2,Doug Martin,RB,TB,436,11
4.08,44.0,Jordan Reed,TE,WAS,325,5
4.10,45.9,Michael Crabtree,WR,OAK,468,10
4.11,46.9,Jarvis Landry,WR,MIA,476,11
4.12,48.1,Martavis Bryant,WR,PIT,405,9
5.01,48.6,Andrew Luck,QB,IND,328,11
5.02,50.1,Christian McCaffrey,RB,CAR,890,11
5.03,51.0,Tevin Coleman,RB,ATL,279,5
5.03,51.2,Brandon Marshall,WR,NYG,391,8
5.05,52.6,Greg Olsen,TE,CAR,321,11
5.05,52.9,Ty Montgomery,RB,GB,436,8
5.07,55.2,Mark Ingram,RB,NO,304,5
5.08,55.8,Matt Ryan,QB,ATL,301,5
5.08,56.3,Kelvin Benjamin,WR,CAR,410,11
5.10,58.1,Latavius Murray,RB,MIN,219,9
5.11,58.6,Julian Edelman,WR,NE,420,9
5.12,60.3,Rob Kelley,RB,WAS,201,5
6.02,62.2,Donte Moncrief,WR,IND,400,11
6.02,62.2,Joe Mixon,RB,CIN,880,6
6.02,62.3,Jimmy Graham,TE,SEA,236,6
6.03,63.4,Derrick Henry,RB,TEN,287,8
6.05,64.6,Ameer Abdullah,RB,DET,486,7
6.05,65.2,Larry Fitzgerald,WR,ARI,413,8
6.06,65.8,Derek Carr,QB,OAK,245,10
6.06,66.4,Bilal Powell,RB,NYJ,326,11
6.07,67.0,LeGarrette Blount,RB,PHI,721,10
6.08,67.7,Tyler Eifert,TE,CIN,217,6
6.09,69.0,Golden Tate,WR,DET,509,7
6.10,70.2,Cam Newton,QB,CAR,249,11
7.01,73.1,Mike Gillislee,RB,NE,482,9
7.02,74.2,Delanie Walker,TE,TEN,245,8
7.03,74.6,DeSean Jackson,WR,TB,416,11
7.06,77.6,Paul Perkins,RB,NYG,465,8
7.06,77.8,Emmanuel Sanders,WR,DEN,344,5
7.07,79.0,Martellus Bennett,TE,GB,261,8
7.08,80.4,Jamison Crowder,WR,WAS,434,5
7.09,80.7,Frank Gore,RB,IND,412,11
7.09,81.2,Dalvin Cook,RB,MIN,637,9
7.09,81.4,Russell Wilson,QB,SEA,308,6
7.10,82.5,Ben Roethlisberger,QB,PIT,261,9
7.11,82.7,Jeremy Hill,RB,CIN,184,6
7.11,83.1,Willie Snead,WR,NO,556,5
7.12,83.8,Hunter Henry,TE,LAC,174,9
8.04,88.0,Stefon Diggs,WR,MIN,388,9
8.04,88.4,Kirk Cousins,QB,WAS,340,5
8.05,88.8,Jamaal Charles,RB,DEN,245,5
8.05,89.3,Dak Prescott,QB,DAL,186,6
8.06,90.5,Randall Cobb,WR,GB,425,8
8.08,91.6,Kenneth Dixon,RB,BAL,253,10
8.09,93.2,Corey Davis,WR,TEN,495,8
8.10,93.9,Jonathan Stewart,RB,CAR,190,11
8.10,94.0,Jameis Winston,QB,TB,452,11
8.10,94.2,Rishard Matthews,WR,TEN,196,8
8.11,94.8,Corey Coleman,WR,CLE,315,9
8.12,96.2,Matt Forte,RB,NYJ,175,11
9.01,97.0,Danny Woodhead,RB,BAL,223,10
9.02,97.8,Kyle Rudolph,TE,MIN,225,9
9.02,98.0,DeVante Parker,WR,MIA,432,11
9.08,103.7,Eric Decker,WR,NYJ,286,11
9.08,104.0,Marcus Mariota,QB,TEN,466,8
9.09,104.8,Kansas City Defense,DEF,KC,170,10
9.09,105.3,Pierre Garcon,WR,SF,393,11
9.09,105.4,Denver Defense,DEF,DEN,186,5
9.10,106.0,Samaje Perine,RB,WAS,534,5
9.10,106.3,Thomas Rawls,RB,SEA,179,6
9.11,107.2,Philip Rivers,QB,LAC,459,9
10.01,108.9,Mike Williams,WR,LAC,293,9
10.02,110.2,Cameron Meredith,WR,CHI,248,9
10.03,110.8,Theo Riddick,RB,DET,175,7
10.03,110.8,Houston Defense,DEF,HOU,184,7
10.06,113.7,John Brown,WR,ARI,331,8
10.07,114.8,Matthew Stafford,QB,DET,356,7
10.07,115.4,O.J. Howard,TE,TB,424,11
10.08,115.7,Terrance West,RB,BAL,286,10
10.09,116.6,Seattle Defense,DEF,SEA,187,6
10.10,117.9,Eli Manning,QB,NYG,319,8
10.11,119.2,New England Defense,DEF,NE,163,9
10.11,119.2,Jeremy Maclin,WR,KC,211,10
10.11,119.3,Mike Wallace,WR,BAL,291,10
10.12,119.7,Zach Ertz,TE,PHI,342,10
11.01,120.7,CJ Prosise,RB,SEA,223,6
11.02,121.9,Kevin White,WR,CHI,133,9
11.04,123.8,Minnesota Defense,DEF,MIN,151,9
11.06,125.6,Jacquizz Rodgers,RB,TB,174,11
11.06,125.6,Marvin Jones,WR,DET,250,7
11.06,126.3,Arizona Defense,DEF,ARI,176,8
11.06,126.4,Jordan Matthews,WR,PHI,161,10
11.09,129.1,NY Giants Defense,DEF,NYG,141,8
11.10,130.1,Dion Lewis,RB,NE,234,9
11.11,131.0,Marlon Mack,RB,IND,415,11
11.12,131.7,Andy Dalton,QB,CIN,179,6
11.12,131.7,Carson Wentz,QB,PHI,157,10
11.12,132.1,Adam Thielen,WR,MIN,152,9
11.12,132.5,Sterling Shepard,WR,NYG,122,8
12.01,132.6,John Ross,WR,CIN,187,6
12.03,134.7,Tyrod Taylor,QB,BUF,155,6
12.04,136.0,Kareem Hunt,RB,KC,579,10
12.05,136.9,Breshad Perriman,WR,BAL,261,10
12.05,137.0,Ryan Mathews,RB,PHI,108,10
12.09,140.7,Baltimore Defense,DEF,BAL,162,10
12.09,141.1,Justin Tucker,PK,BAL,669,10
12.10,141.6,Julius Thomas,TE,MIA,489,11
12.11,142.8,Kenny Britt,WR,LAR,111,8
12.11,142.8,Jack Doyle,TE,IND,533,11
12.11,143.4,Jamaal Williams,RB,GB,415,8
12.12,144.2,Giovani Bernard,RB,CIN,156,6
13.02,145.8,Stephen Gostkowski,PK,NE,451,9
13.02,146.3,Darren Sproles,RB,PHI,7,10
13.03,147.2,Josh Doctson,WR,WAS,168,5
13.03,147.3,Tyler Lockett,WR,SEA,98,6
13.04,147.6,Carson Palmer,QB,ARI,169,8
13.06,149.7,Dwayne Allen,TE,NE,22,9
13.07,150.9,Josh Gordon,WR,CLE,55,9
13.07,151.2,Joe Williams,RB,SF,348,11
13.08,151.8,Rex Burkhead,RB,NE,166,9
13.08,151.9,Ladarius Green,TE,PIT,8,9
13.08,152.1,Cameron Brate,TE,TB,95,11
13.08,152.3,Coby Fleener,TE,NO,105,5
13.08,152.3,Eric Ebron,TE,DET,357,7
13.09,152.9,Matt Bryant,PK,ATL,181,5
13.09,152.9,Carolina Defense,DEF,CAR,238,11
13.09,153.5,Zay Jones,WR,BUF,167,6
13.10,153.5,James White,RB,NE,86,9
13.10,153.5,Blake Bortles,QB,JAC,104,8
13.10,153.8,Tim Hightower,RB,SF,8,11
13.11,154.9,J.J. Nelson,WR,ARI,57,8
13.11,155.2,Jason Witten,TE,DAL,12,6
13.12,156.0,Darren McFadden,RB,DAL,7,6
13.12,156.1,Evan Engram,TE,NYG,99,8
14.01,156.9,Chris Ivory,RB,JAC,18,8
14.01,157.3,Dan Bailey,PK,DAL,120,6
14.01,157.4,Charles Sims,RB,TB,25,11
14.02,157.7,Los Angeles Defense,DEF,LAR,197,8
14.02,157.9,Donta Foreman,RB,HOU,123,7
14.02,158.1,Quincy Enunwa,WR,NYJ,183,11
14.02,158.2,Ted Ginn Jr,WR,NO,110,5
14.03,158.6,Alvin Kamara,RB,NO,51,5
14.03,158.6,Jared Cook,TE,OAK,48,10
14.03,158.8,Wayne Gallman,RB,NYG,17,8
14.03,158.9,Tyrell Williams,WR,LAC,182,9
14.03,159.0,DeAngelo Williams,RB,PIT,166,9
14.03,159.3,Kenny Stills,WR,MIA,29,11
14.04,160.2,DeAndre Washington,RB,OAK,10,10
14.04,160.2,Adam Vinatieri,PK,IND,76,11
14.04,160.4,Ryan Tannehill,QB,MIA,175,11
14.04,160.5,Cooper Kupp,WR,LAR,38,8
14.05,161.3,Mohamed Sanu,WR,ATL,39,5
14.05,161.5,David Njoku,TE,CLE,102,9
14.06,161.6,Duke Johnson,RB,CLE,142,9
14.06,162.0,Mason Crosby,PK,GB,86,8
14.06,162.2,Devontae Booker,RB,DEN,81,5
14.06,162.2,Philadelphia Defense,DEF,PHI,191,10
14.06,162.4,Curtis Samuel,WR,CAR,10,11
14.07,163.0,Atlanta Defense,DEF,ATL,169,5
14.07,163.1,Tampa Bay Defense,DEF,TB,13,11
14.08,163.8,Joe Flacco,QB,BAL,60,10
14.08,164.0,James Conner,RB,PIT,21,9
14.08,164.4,Cole Beasley,WR,DAL,100,6
14.09,164.5,Robert Woods,WR,LAR,32,8
14.09,164.7,Taylor Gabriel,WR,ATL,79,5
14.09,164.9,Deshaun Watson,QB,HOU,85,7
14.09,165.2,Sam Bradford,QB,MIN,29,9
14.10,165.5,Mitch Trubisky,QB,CHI,6,9
14.10,165.6,Chris Hogan,WR,NE,27,9
14.10,165.9,Kamar Aiken,WR,IND,11,11
14.10,166.2,Will Fuller,WR,HOU,86,7
14.10,166.5,Sebastian Janikowski,PK,OAK,74,10
14.11,167.1,Oakland Defense,DEF,OAK,87,10
