Teams:12,Rounds:15,Total drafts:1604
Start date,July 3, 2017
End date,July 10, 2017

ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.02,1.7,David Johnson,RB,ARI,470,8
1.02,2.4,LeVeon Bell,RB,PIT,582,9
1.03,2.9,Ezekiel Elliott,RB,DAL,444,6
1.04,4.2,Antonio Brown,WR,PIT,437,9
1.06,5.8,Julio Jones,WR,ATL,482,5
1.06,6.3,Odell Beckham Jr,WR,NYG,526,8
1.07,6.8,LeSean McCoy,RB,BUF,564,6
1.08,8.0,Melvin Gordon,RB,LAC,522,9
1.09,9.2,Mike Evans,WR,TB,495,11
1.10,10.1,Devonta Freeman,RB,ATL,527,5
1.11,11.2,A.J. Green,WR,CIN,555,6
1.12,11.6,Jay Ajayi,RB,MIA,517,11
2.02,13.8,DeMarco Murray,RB,TEN,566,8
2.02,14.0,Jordan Howard,RB,CHI,529,9
2.02,14.1,Jordy Nelson,WR,GB,567,8
2.05,16.5,Michael Thomas,WR,NO,472,5
2.05,17.2,Marshawn Lynch,RB,OAK,441,10
2.06,18.0,Todd Gurley,RB,LAR,502,8
2.07,19.0,T.Y. Hilton,WR,IND,497,11
2.07,19.3,Leonard Fournette,RB,JAC,535,8
2.08,20.3,Dez Bryant,WR,DAL,592,6
2.09,20.9,Rob Gronkowski,TE,NE,551,9
2.10,22.3,Amari Cooper,WR,OAK,568,10
2.11,22.7,Aaron Rodgers,QB,GB,391,8
2.12,23.6,Lamar Miller,RB,HOU,518,7
3.02,25.8,Isaiah Crowell,RB,CLE,485,9
3.03,27.3,Doug Baldwin,WR,SEA,570,6
3.03,27.3,Brandin Cooks,WR,NE,469,9
3.05,28.7,Tom Brady,QB,NE,417,9
3.05,28.8,DeAndre Hopkins,WR,HOU,526,7
3.06,30.4,Joe Mixon,RB,CIN,406,6
3.08,31.8,Terrelle Pryor,WR,WAS,437,5
3.10,33.5,Christian McCaffrey,RB,CAR,403,11
3.10,33.8,Alshon Jeffery,WR,PHI,436,10
3.10,34.3,Carlos Hyde,RB,SF,510,11
3.11,34.7,Spencer Ware,RB,KC,424,10
3.12,36.2,Sammy Watkins,WR,BUF,543,6
3.12,36.3,Allen Robinson,WR,JAC,505,8
4.02,37.8,Travis Kelce,TE,KC,436,10
4.02,37.9,Demaryius Thomas,WR,DEN,562,5
4.03,39.5,Adrian Peterson,RB,NO,437,5
4.05,40.8,Drew Brees,QB,NO,351,5
4.05,41.2,Davante Adams,WR,GB,519,8
4.06,41.8,Doug Martin,RB,TB,515,11
4.08,43.5,Tyreek Hill,WR,KC,477,10
4.09,44.5,Keenan Allen,WR,LAC,538,9
4.09,45.1,Martavis Bryant,WR,PIT,534,9
4.10,45.8,LeGarrette Blount,RB,PHI,454,10
4.10,46.3,Jordan Reed,TE,WAS,421,5
4.11,47.3,Ty Montgomery,RB,GB,543,8
5.02,49.5,Mike Gillislee,RB,NE,578,9
5.02,50.3,Jarvis Landry,WR,MIA,492,11
5.04,51.6,Michael Crabtree,WR,OAK,514,10
