 Rank , Player Name ,Position ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
1,Antonio Brown,WR1,PIT,8,1,3,1.266666667,0.573488351,1
2,Odell Beckham Jr.,WR2,NYG,8,1,9,2.866666667,1.783878421,2
3,Julio Jones,WR3,ATL,11,2,10,3.8,2.039607805,4
4,Todd Gurley,RB1,LA,8,1,11,5.466666667,3.159465496,3
5,David Johnson,RB2,ARI,9,1,9,5.666666667,2.32856656,5
6,A.J. Green,WR4,CIN,9,4,14,7.8,3.42928564,10
7,DeAndre Hopkins,WR5,HOU,9,3,12,7.866666667,2.445858177,7
8,Ezekiel Elliott,RB3,DAL,7,4,14,8.4,2.847220867,8
9,Adrian Peterson,RB4,MIN,6,3,14,8.733333333,3.275498266,6
10,Lamar Miller,RB5,HOU,9,4,15,10.26666667,3.234535859,12
11,Allen Robinson,WR6,JAC,5,5,19,11.4,3.738092205,15
12,Dez Bryant,WR7,DAL,7,5,35,11.93333333,6.597642677,11
13,Rob Gronkowski,TE1,NE,9,6,26,12.13333333,5.377318621,9
14,Brandon Marshall,WR8,NYJ,11,8,30,17.53333333,5.702241275,19
15,Le'Veon Bell,RB6,PIT,8,10,27,17.6,5.314132102,13
16,Jamaal Charles,RB7,KC,5,9,30,19.13333333,6.064834888,16
17,Mike Evans,WR9,TB,6,14,33,19.93333333,4.945929864,25
18,Devonta Freeman,RB8,ATL,11,9,30,20.33333333,5.652924514,14
19,Mark Ingram,RB9,NO,5,11,34,21.13333333,5.536143865,20
20,Keenan Allen,WR10,SD,11,12,30,21.93333333,5.039400317,24
21,Eddie Lacy,RB10,GB,4,13,35,22.26666667,5.836284968,22
22,Alshon Jeffery,WR11,CHI,9,13,44,22.33333333,7.837233072,23
23,Jordy Nelson,WR12,GB,4,13,32,22.73333333,6.005182947,18
24,LeSean McCoy,RB11,BUF,10,18,37,24.46666667,5.018189138,26
25,Brandin Cooks,WR13,NO,5,15,34,24.6,5.724799851,29
26,T.Y. Hilton,WR14,IND,10,19,35,25.73333333,4.999555536,34
27,Amari Cooper,WR15,OAK,10,10,37,25.93333333,7.009200303,28
28,Doug Martin,RB12,TB,6,15,42,26.66666667,8.715248451,21
29,Sammy Watkins,WR16,BUF,10,18,39,28,6.733003292,31
30,C.J. Anderson,RB13,DEN,11,16,43,29.26666667,7.514134829,30
31,Demaryius Thomas,WR17,DEN,11,17,46,32.13333333,7.163487667,32
32,Latavius Murray,RB14,OAK,10,18,49,36.06666667,8.842825089,39
33,Cam Newton,QB1,CAR,7,22,73,37.73333333,12.65156995,17
34,Randall Cobb,WR18,GB,4,29,53,37.8,6.368673331,43
35,Jeremy Maclin,WR19,KC,5,32,54,39.26666667,6.55709963,49
36,Aaron Rodgers,QB2,GB,4,21,75,39.33333333,12.94947446,27
37,Jordan Reed,TE2,WAS,9,33,52,39.73333333,5.904423953,37
38,Carlos Hyde,RB15,SF,8,26,64,41.26666667,10.74843658,35
39,Eric Decker,WR20,NYJ,11,26,60,43.26666667,10.14210147,51
40,Jarvis Landry,WR21,MIA,8,21,58,43.93333333,9.073526816,44
41,Donte Moncrief,WR22,IND,10,33,74,46.26666667,11.86292076,62
42,Thomas Rawls,RB16,SEA,5,27,86,47.6,14.66878773,33
43,Russell Wilson,QB3,SEA,5,20,74,47.66666667,13.90283744,36
44,Matt Forte,RB17,NYJ,11,22,80,48,13.93795777,38
45,Greg Olsen,TE3,CAR,7,40,85,49.93333333,10.45923303,41
46,Andrew Luck,QB4,IND,10,19,76,50.53333333,14.70540339,42
47,DeMarco Murray,RB18,TEN,13,29,100,50.6,20.93418257,47
48,Jeremy Hill,RB19,CIN,9,35,65,50.73333333,7.325450308,52
49,Doug Baldwin,WR23,SEA,5,31,73,50.8,10.86400785,48
50,Julian Edelman,WR24,NE,9,32,85,50.93333333,12.78784145,40
51,Michael Floyd,WR25,ARI,9,32,77,52,15.47040185,56
52,Jonathan Stewart,RB20,CAR,7,38,81,55,12.90994449,46
53,Golden Tate,WR26,DET,10,35,108,55.06666667,17.81559866,54
54,Drew Brees,QB5,NO,5,33,79,55.66666667,12.11427074,50
55,Frank Gore,RB21,IND,10,33,88,55.86666667,14.06113635,72
56,Kelvin Benjamin,WR27,CAR,7,33,77,56.2,11.148692,45
57,Ryan Mathews,RB22,PHI,4,42,90,56.53333333,12.41432864,55
58,Jeremy Langford,RB23,CHI,9,29,77,56.6,14.35641552,61
59,Larry Fitzgerald,WR28,ARI,9,43,83,60.93333333,10.46560504,60
60,John Brown,WR29,ARI,9,44,81,61.06666667,10.27921311,73
61,Travis Kelce,TE4,KC,5,45,82,61.4,11.59195123,57
62,Giovani Bernard,RB24,CIN,9,38,91,62,12.87892335,75
63,Jordan Matthews,WR30,PHI,4,48,85,63.06666667,10.45285713,68
64,Melvin Gordon,RB25,SD,11,43,84,66.53333333,11.88201255,66
65,Marvin Jones,WR31,DET,10,42,93,67.53333333,14.23547993,91
66,Emmanuel Sanders,WR32,DEN,11,41,94,68.8,13.12605551,65
67,Carson Palmer,QB6,ARI,9,41,96,71.2,14.60684771,58
68,Tyler Lockett,WR33,SEA,5,24,109,71.33333333,21.00052909,83
69,Matt Jones,RB26,WAS,9,38,147,71.4,28.56758069,63
70,DeSean Jackson,WR34,WAS,9,44,103,73.66666667,14.81290728,84
71,Duke Johnson,RB27,CLE,13,51,91,73.73333333,12.48180899,77
72,Allen Hurns,WR35,JAC,5,48,97,73.93333333,11.14430597,71
73,Ben Roethlisberger,QB7,PIT,8,42,106,75.73333333,18.60633106,53
74,Delanie Walker,TE5,TEN,13,45,103,77.33333333,13.32999958,59
75,Chris Ivory,RB28,JAC,5,45,101,78.2,15.34144713,78
76,Rashad Jennings,RB29,NYG,8,56,121,78.53333333,18.07711875,88
77,Danny Woodhead,RB30,SD,11,59,142,80.13333333,21.40674868,80
78,Coby Fleener,TE6,NO,5,52,116,80.2,18.38912722,67
79,Eli Manning,QB8,NYG,8,65,106,80.53333333,11.8932287,70
80,Michael Crabtree,WR36,OAK,10,56,104,80.86666667,12.8834088,86
81,Arian Foster,RB31,MIA,8,51,157,81.6,25.48672857,69
82,Ameer Abdullah,RB32,DET,10,42,115,81.86666667,16.56046161,87
83,Philip Rivers,QB9,SD,11,54,118,86.33333333,18.39806753,85
84,Devante Parker,WR37,MIA,8,43,156,86.53333333,29.23893903,81
85,Blake Bortles,QB10,JAC,5,41,128,87.13333333,22.42577882,74
86,LeGarrette Blount,RB33,NE,9,63,144,90.73333333,17.71427547,109
